# q:1.000000e+00, m:1.836000e+03, N:480 - x,px,py,pz,w
1.885468846553857247e+02 -1.980510429157960051e+00 9.532728629611446174e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.886924762575161765e+02 -1.803966364725899219e+00 9.498514623400651415e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.889916805684128462e+02 -1.342975570507095817e+00 9.494926912403801704e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.891391056161760673e+02 -1.129556837461217711e+00 9.589655080998876757e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.894283400564886222e+02 -7.555522179282063711e-01 9.630839974979520709e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.895701201034306678e+02 -5.929643631607385279e-01 9.581466834850190135e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.898497785458276610e+02 -3.046576332164540601e-01 9.647929801035325277e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.899889600153548486e+02 -1.712794118127676235e-01 9.735021332618869899e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.902658217817535728e+02 6.481013467121315985e-02 9.804801442842218766e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.904031969359513994e+02 1.594481931355614113e-01 9.822440886032577159e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.906751637088813709e+02 2.953867539616572557e-01 9.953570591392925208e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.908092903170636703e+02 3.326009310607044855e-01 1.004001544687466597e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.910737975239187847e+02 3.524329443516093785e-01 1.018568418294843719e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.912041503271780698e+02 3.389736296859168219e-01 1.024678840298145523e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.914625052676738335e+02 2.850205645876510152e-01 1.035073549216801447e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.915914985692326695e+02 2.572441279354139576e-01 1.040597322979098203e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.918496925482949678e+02 2.044413503744275107e-01 1.055328274672912578e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.919791986207547154e+02 1.816609519116627602e-01 1.061438633577728311e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.922386490543086950e+02 1.405402966131081288e-01 1.062239805123002534e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.923682920050359826e+02 1.197828935646557402e-01 1.060889180271521424e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.926276643910497057e+02 8.319722753658922998e-02 1.066833928501648284e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.927575818777305017e+02 7.121501313800476796e-02 1.069483005720805319e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.930178678655698263e+02 5.697037500606168259e-02 1.058701922397488684e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.931482018277885970e+02 5.230683649890714021e-02 1.050411063954709810e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.934092066186485113e+02 4.525397583740763119e-02 1.046040645684578755e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.935398363429838753e+02 4.109656459370623904e-02 1.045105198753046088e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.938013476479693225e+02 3.141762180960809558e-02 1.028243402633081255e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.939322183965240356e+02 2.587127464442792735e-02 1.017443169244131983e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.941941599421518561e+02 1.561175022893953983e-02 1.009781864974730256e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.943251986739223867e+02 1.248357109573536294e-02 1.008659774130579159e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.945874752240530938e+02 1.382037864260901062e-02 9.963529389447275692e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.947187495283096439e+02 2.065772451271273569e-02 9.891444742285281522e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.949815447270747768e+02 4.452893169372326015e-02 9.868895587284236791e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.951130330767678913e+02 5.974232865063567460e-02 9.889167450796041911e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.953760277627216340e+02 8.950178165395432373e-02 9.890824492022843792e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.955074107947490916e+02 9.906881020772756452e-02 9.890963668803959274e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.957698478501522743e+02 1.067597883396782660e-01 9.952444751136788146e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.959008308783441521e+02 1.046294353476930894e-01 1.000619285635592987e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.961621552141881466e+02 8.767688772388526619e-02 1.013499245027430157e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.962923718672310258e+02 7.224390755693432808e-02 1.020173385736360258e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.965522999848235770e+02 3.421367285711998663e-02 1.031323206446945048e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.966822766730831518e+02 1.625060925268205156e-02 1.037498096031162168e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.969426018391554010e+02 -9.748273889918761953e-03 1.056929014243583815e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.970731609861815627e+02 -1.273818237381240531e-02 1.067048150406898653e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.973348442221328014e+02 -4.291809710293421898e-03 1.076452230925084271e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.974657784533859797e+02 2.678715729502036819e-03 1.079612092956237519e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.977277876401397521e+02 2.015274731187323420e-02 1.097264694000377270e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.978588352182479468e+02 2.956309102692225924e-02 1.106696857753708451e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.981209702633745735e+02 4.824719114088064920e-02 1.108163136104349262e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.982520160609382174e+02 5.646316920214289325e-02 1.105877983310095793e-03 0.000000000000000000e+00 1.963495408493620871e-03
