# q:-1.000000e+00, m:1.000000e+00, N:480 - x,px,py,pz,w
1.896315806223648224e+02 -2.505773914786968426e-02 -6.714010183673170262e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.896420041722306280e+02 -3.194412051540751474e-02 -6.650153207262277100e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.898244338532610982e+02 -9.691303062162803794e-02 -5.342729302414457315e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.900083214819344164e+02 -1.485087081821088173e-01 -3.862692482450259535e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.903508159583884947e+02 -2.036510633481988519e-01 -7.517925996688595847e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.905194333655447281e+02 -2.000411213229502105e-01 8.899839068927395402e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.907972969965031496e+02 -1.503433857100389126e-01 3.590754812647265481e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.909440726179802255e+02 -1.016531341998696131e-01 4.921420080969673982e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.911922981802590016e+02 -7.648277072365025631e-03 6.880274161481325645e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.913234568612782311e+02 4.446881100630140082e-02 7.720824788938953631e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.915510306286392392e+02 1.174866369147263834e-01 8.809578777181784615e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.916741378412213805e+02 1.477193751848990821e-01 9.193406964322576869e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.918953424711166065e+02 1.724114811043536699e-01 9.506419226236401121e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.920182071226307130e+02 1.728691366479488400e-01 9.484121133382612534e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.922466400675059788e+02 1.434741674962492775e-01 9.068371635134274689e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.923768330943315163e+02 1.151687825679498511e-01 8.644159253295758960e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.926265582397437015e+02 4.004153577827965910e-02 7.466809090619570544e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.927716149867855222e+02 -7.274307542681601735e-03 6.605337910754054409e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.930535217628762723e+02 -9.779682872924674863e-02 4.599788198706677989e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.932149595038826533e+02 -1.383762189044175084e-01 3.295307520530474932e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.935154793259186761e+02 -1.805205858090441762e-01 6.159646206683905278e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.936756230738150180e+02 -1.768692797263435035e-01 -8.908635082616522816e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.939552406343007078e+02 -1.273373475198498472e-01 -3.507673737274930037e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.940979743493275862e+02 -8.284645258939664358e-02 -4.748917236860369373e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.943460525897777416e+02 7.104548004436550546e-03 -6.629505265909871881e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.944739364238215273e+02 5.451861437001068178e-02 -7.417104648613354057e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.947018628023896269e+02 1.250076802377972918e-01 -8.470593316231205261e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.948224081262812888e+02 1.525136245240761856e-01 -8.835123032975423785e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.950437978983689788e+02 1.776478743980570152e-01 -9.145839179830530519e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.951642223062710855e+02 1.777434112733453642e-01 -9.130810505859656701e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.953919573936161669e+02 1.519610584476177029e-01 -8.745465793486120187e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.955192893213724972e+02 1.254733840507045728e-01 -8.355311047611803099e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.957664864774805551e+02 5.664408754772615184e-02 -7.250896199358546346e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.959076039704118273e+02 1.242054670025703744e-02 -6.456213834579511701e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.961843113720875920e+02 -7.183872504516305990e-02 -4.583631759167100528e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.963408879296393934e+02 -1.110769418983542645e-01 -3.382031340676070474e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.966362355427431510e+02 -1.542209762649639493e-01 -8.794301930185483007e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.967934846696616091e+02 -1.551762073450902446e-01 5.264708151392899493e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.970720589116696146e+02 -1.151181304011453937e-01 3.023573773320433755e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.972142743053048264e+02 -7.714589957448701740e-02 4.219513679315722854e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.974631904776780118e+02 5.764387886720817589e-03 6.069843226017972437e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.975913204935840213e+02 4.954879861100661143e-02 6.855143669254856187e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.978197910198288412e+02 1.190019635075034721e-01 7.929109986222693252e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.979405415529132028e+02 1.460047863747646057e-01 8.315042175979421302e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.981612386724343651e+02 1.752163794742197800e-01 8.680587384238745985e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.982813967824548911e+02 1.773019841466483282e-01 8.704726062532653907e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.985064476147736059e+02 1.595189675214235270e-01 8.412371239561099445e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.986325720059415687e+02 1.367742435390710831e-01 8.081648181021285904e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.988740628162649671e+02 7.811543532543943624e-02 7.123781093129581965e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.990125169749115912e+02 3.785235581526587290e-02 6.416097111126615182e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.992800724034459847e+02 -3.874265644002379549e-02 4.758043706592685607e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.994332557160761326e+02 -7.756089114591738221e-02 3.670190161644638627e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.997205109815320156e+02 -1.248503525380211671e-01 1.413270743237910465e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.998773236031144904e+02 -1.327930644036615926e-01 9.980656878663618503e-03 0.000000000000000000e+00 1.963495408493620871e-03
2.001544180574919096e+02 -1.082128349944501272e-01 -2.252589756471503613e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.002991468254363951e+02 -7.828968665528632243e-02 -3.432657629068651683e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.005496112299690310e+02 -6.376895293594656011e-03 -5.269817307131090534e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.006806535802334679e+02 3.431202281591749781e-02 -6.087355913147868280e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.009103082578152168e+02 1.018301448525096298e-01 -7.214693652399416512e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.010332840606360492e+02 1.301287179212439749e-01 -7.651533190099264470e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.012535488570125608e+02 1.642777455960149902e-01 -8.109215146400676755e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.013748126112494390e+02 1.706142740835479010e-01 -8.195853865977321684e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.015970535899890308e+02 1.623280427903236456e-01 -8.034891690222276672e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.017227419136386857e+02 1.455333005301562566e-01 -7.781990761816336422e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.019580718246152458e+02 9.850396378370106232e-02 -7.008210955200864234e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.020940832027868623e+02 6.409128210605422038e-02 -6.404995116731946325e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.023517801838418677e+02 -3.881519690189752514e-03 -4.996225320023651717e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.025012434769137428e+02 -4.090634092640924035e-02 -4.040890342018614856e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.027793827310447341e+02 -9.228566107645952421e-02 -2.061086939470962720e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.029351687227985792e+02 -1.069466478833675793e-01 -8.605742739190699875e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.032108577206264215e+02 -1.004821363328221862e-01 1.320976150708986774e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.033582980489509282e+02 -8.008934994350599967e-02 2.472715288806905942e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.036120859207761953e+02 -2.316449457966623243e-02 4.299961182499532075e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.037465446175315265e+02 1.341410840348071509e-02 5.151609689767209233e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.039797098127261847e+02 7.662765462978007869e-02 6.357059766935431178e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.041051629014698108e+02 1.064186837203749403e-01 6.850646724381663777e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.043273726405634534e+02 1.445510449454706081e-01 7.428206383535659318e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.044495902014083129e+02 1.560870557978453199e-01 7.582551199837803679e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.046714048171896536e+02 1.570675315968310948e-01 7.575522783765786805e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.047960931464572241e+02 1.476244739210108570e-01 7.408047854621289119e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.050277698804590898e+02 1.123423294656687443e-01 6.829811754310853855e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.051603579090020730e+02 8.555142228726023146e-02 6.341830448463554593e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.054107687981028789e+02 2.702469027390526357e-02 5.180591568236584399e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.055548003663354564e+02 -5.821289987210223615e-03 4.374230708479500684e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.058252942434376962e+02 -5.871904692707939633e-02 2.670441942778428723e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.059771085481104365e+02 -7.763159939893850281e-02 1.615804630944199516e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.062520480377987440e+02 -8.775256288347547950e-02 -3.736116403567185662e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.063996095780216251e+02 -7.726146303714942487e-02 -1.456261862208869662e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.066589079814318097e+02 -3.778488232530644725e-02 -3.255968255297355674e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.067951590859481428e+02 -7.485772934954434965e-03 -4.117658171442566406e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.070350549690401749e+02 4.854414354678793231e-02 -5.402065960781140541e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.071617870927557021e+02 7.804883498074519088e-02 -5.945024852409923621e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.073894146353803478e+02 1.184312847221835330e-01 -6.647019497544790489e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.075115144894356263e+02 1.341592282559228022e-01 -6.872901524778572968e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.077364236126657886e+02 1.434929119361000316e-01 -7.015138119917359028e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.078591138492957953e+02 1.409966512363891589e-01 -6.942811915328930272e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.080907828716015047e+02 1.171708159654249182e-01 -6.541586185169677714e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.082190365729634038e+02 9.820915794808741939e-02 -6.179675448169850149e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.084658352657992850e+02 5.018128667859871050e-02 -5.236589291700279869e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.086032999243683719e+02 2.287628143569595679e-02 -4.590501037209853141e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.088684958725169452e+02 -2.754817575428925025e-02 -3.137627367980628801e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.090140025492913196e+02 -4.801277590778975368e-02 -2.253541857906943557e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.092881013132133319e+02 -6.951274693046297082e-02 -4.677073312927923499e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.094331003806028093e+02 -6.802000546486750010e-02 5.001324285994768193e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.096980720889035297e+02 -4.522349149320323974e-02 2.238427285716038107e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.098346532835095388e+02 -2.349851988222282501e-02 3.071746007049549476e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.100824927248364418e+02 2.342487227704878605e-02 4.412666666331749310e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.102101661777386994e+02 4.940244560708723087e-02 4.984337284750457453e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.104447556642395796e+02 9.037359107090814359e-02 5.796939529449873785e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.105672090407295514e+02 1.072137105037876403e-01 6.083612863796530323e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.107966572071632640e+02 1.241944327792297853e-01 6.363599428607040753e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.109185292401334380e+02 1.259440041560786760e-01 6.375766218761642623e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.111514723711431998e+02 1.137813274988521417e-01 6.141516489298192161e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.112772799762430793e+02 1.005805351386174773e-01 5.887751300822620104e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.115215215159815614e+02 6.457455748638293858e-02 5.151455713962911354e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.116547963105853682e+02 4.208424929542579213e-02 4.638408489692864567e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.119145549786093454e+02 -1.678802602396126109e-03 3.431187248982240368e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.120555475908718677e+02 -2.207070833712650865e-02 2.692416128641419437e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.123258727208536243e+02 -4.853641572819629435e-02 1.141294045835422877e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.124690186175353972e+02 -5.363304174267195801e-02 2.860658669661786391e-02 0.000000000000000000e+00 1.963495408493620871e-03
