# q:-1.000000e+00, m:1.000000e+00, N:480 - x,px,py,pz,w
2.349867037793890177e+02 1.818265111220295216e-01 -6.768745705723850726e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.613346896086287927e+02 4.988028593330699756e-02 -2.331496454177142685e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.063660853436131788e+02 1.126332441993523059e-01 -4.109737094915454428e-03 0.000000000000000000e+00 1.963495408493620871e-03
2.372793220062268631e+02 -1.977918529771888548e-02 1.342640416127497457e-03 0.000000000000000000e+00 1.963495408493620871e-03
2.238984776713567442e+02 -5.302342942622721711e-02 -1.600256034225040758e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.995617512981966115e+02 8.206016514825924257e-02 5.356913359501393754e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.908920318414502333e+02 5.169032792051217462e-02 -5.311980041765159907e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.990071273696127605e+02 8.741438921132457796e-02 4.858346520652817449e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.205759281173966428e+02 2.319050119345710814e-01 -3.552881817072630504e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.965144549289032341e+02 4.834446151911372946e-02 5.499932928649811040e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.897208176748123378e+02 7.771159578141509372e-02 -4.852718703839214130e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.909317253996199781e+02 5.503504310216668360e-02 5.376460585532599193e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.062897549839651390e+02 4.456197795170059872e-01 -4.611148614567966205e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.993182264282315259e+02 2.428055439614300592e-01 5.105811610783837816e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.997770628414166367e+02 1.092780017085659139e-01 -4.653584246836551305e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.908522053126422406e+02 5.242215115096923728e-02 4.608197722407578927e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.959942086181122818e+02 2.114241416538562568e-01 -4.115593136729797695e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.924927025614970546e+02 1.752062478727495209e-01 5.104999213552381763e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.891971879425546206e+02 8.641136156927814449e-02 -3.724561865573435340e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.904886971328608070e+02 4.163134727851286465e-02 4.363450364331973716e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.960289776137531987e+02 1.803608812651681936e-01 -4.736423885904725468e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.882261895804244887e+02 6.994518963881542206e-02 4.969893047885710988e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.866126956570245170e+02 -1.336734726048610655e-02 -4.195989334185912028e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.862525939835833526e+02 -3.903196079483418901e-02 4.861969369677135314e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.892412763564029774e+02 7.019434801411028602e-02 -3.780920721347546696e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.906941578024979265e+02 3.966932169614623138e-02 4.541864069113030243e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.917026542673831102e+02 6.669868477438258003e-02 -3.983409397814334030e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.919376680714294707e+02 6.659186688672408261e-02 4.750088651722030476e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.922478840968018972e+02 6.918712453001896190e-02 -4.237118609770160367e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.923187112703544699e+02 6.773289995543066433e-02 4.919930779182540197e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.924286549973289198e+02 6.263486363613335328e-02 -4.298896573105625641e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.924888932929946179e+02 5.963040219290292876e-02 5.036256220400245820e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.926732298851702012e+02 4.994262621979644184e-02 -4.066278282039451032e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.928309202975465553e+02 4.455344911359952753e-02 4.692785546148792522e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.931932055632706522e+02 3.298819763160978913e-02 -3.720689144682499602e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.933674396129068214e+02 2.964769136521563930e-02 4.117471860105786441e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.937355590380243200e+02 2.461752396385091107e-02 -3.227348622722571534e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.940661590290715708e+02 2.465388451628854061e-02 3.964615339152827785e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.943524433420951141e+02 2.945458518996869196e-02 -2.933720889683985350e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.945206189027847188e+02 3.394159133305156562e-02 4.081658871867503268e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.947313027009222708e+02 3.525420848877391933e-02 -2.439248730177843842e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.948131030405760384e+02 3.489856888574531524e-02 3.577513908076339322e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.951214604403775468e+02 2.818988524345047292e-02 -2.149029380701201683e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.952652005810101628e+02 2.470679417508810094e-02 3.398286174013362458e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.957537900516143736e+02 1.836519804259938160e-02 -2.273303490972118385e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.960826869001952275e+02 2.518773212525950850e-02 3.148659512119954566e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.970943426868018378e+02 7.960964721798816091e-02 -2.636464236539278871e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.975333328097128458e+02 1.050663114351548799e-01 3.195753567797978735e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.982135840945138057e+02 1.505237297843422528e-01 -3.143554532484426787e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.981798583292371063e+02 1.467544931956687448e-01 3.597684096624624833e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.965674675907277162e+02 4.098956836677875026e-02 -2.725602823928535462e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.964703830815295191e+02 3.205482738567506928e-02 3.713293406322417550e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.971465342825317180e+02 6.369092774104803678e-02 -2.058056148272010720e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.979701416791749864e+02 9.580302474342800023e-02 3.451453907209410510e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.970505854370092038e+02 5.819698790952927692e-02 -1.957621892156846655e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.980010704016701482e+02 9.549487024728126050e-02 3.452909940576235921e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.979799620899957802e+02 6.283521807233705125e-02 -2.329739877437344946e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.983624555796646973e+02 6.746394088165619252e-02 3.469234735939445095e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.983628250726919475e+02 6.241101579205718397e-02 -1.954371924648998855e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.988637600233716967e+02 7.161680669602114857e-02 2.918232766416534608e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.995827328257701652e+02 7.833211946328072495e-02 -1.527758229714400596e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.998235806314881131e+02 8.616057553729028484e-02 2.834611942616669083e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.001305365658807318e+02 9.242345541841825995e-02 -9.067042673673122207e-05 0.000000000000000000e+00 1.963495408493620871e-03
2.002340745672650542e+02 9.316713200667602057e-02 2.590254638334182555e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.005047399697672574e+02 9.603023970276289289e-02 -1.305366684099356614e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.006201415624797164e+02 9.687519385040022080e-02 2.847482420843972114e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.008778646349511519e+02 9.937672185817221504e-02 -1.020436722395126573e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.009980691931079093e+02 1.006781586230669073e-01 2.301557322318649934e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.012481910067424451e+02 1.045694932094254348e-01 -7.726973324329372756e-05 0.000000000000000000e+00 1.963495408493620871e-03
2.013820056241345640e+02 1.066327624967238347e-01 2.021661474393480454e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.016040356465399270e+02 1.100429575585283315e-01 -3.176440463113097234e-05 0.000000000000000000e+00 1.963495408493620871e-03
2.016947241083772724e+02 1.112312079752909022e-01 2.009184074317310565e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.019285871666430410e+02 1.159220353036870127e-01 -3.936292023185171185e-05 0.000000000000000000e+00 1.963495408493620871e-03
2.020530263944700096e+02 1.185166761272489211e-01 2.217446667452155806e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.022416262460556595e+02 1.222847200866996609e-01 -1.104671976577048986e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.023546111111878929e+02 1.240350580333575425e-01 2.341006158902565444e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.025226867911387103e+02 1.261024833675926105e-01 -7.239856495629136445e-05 0.000000000000000000e+00 1.963495408493620871e-03
2.025978972543465773e+02 1.261613737796407897e-01 2.077243726723128282e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.027543138231746696e+02 1.247339198058168147e-01 -5.090418305570449135e-05 0.000000000000000000e+00 1.963495408493620871e-03
2.028292801401865972e+02 1.222637482677674525e-01 1.953552788819032772e-04 0.000000000000000000e+00 1.963495408493620871e-03
