# q:1.000000e+00, m:1.836000e+03, N:480 - x,px,py,pz,w
1.886603905260496958e+02 -1.049320748278030457e+00 -4.184650144646064052e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.887958743370424202e+02 -9.576118886177147349e-01 -4.603375663054357666e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.890687684416833463e+02 -7.197963852794891926e-01 -4.659677464565533268e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.892042268517239165e+02 -6.142293407896073365e-01 -4.297276513545653098e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.894728171434137209e+02 -4.378508508821384315e-01 -2.820331774121669901e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.896058953951053354e+02 -3.684197155903431442e-01 -1.726771679179209826e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.898704908739203177e+02 -2.560072652202004528e-01 1.106092695873716432e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.900026690444726682e+02 -2.046570094607924883e-01 2.807880334018768276e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.902668520654852955e+02 -1.116196745678506574e-01 6.615888264385381100e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.903988329516459146e+02 -7.080800075239590541e-02 8.678814278412859797e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.906624630566876135e+02 -3.303232430005985376e-03 1.296464605620295443e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.907940268351579505e+02 2.142370020138581466e-02 1.512011328298075961e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.910565646574125651e+02 4.879299529973980809e-02 1.922958846277020035e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.911874801569186388e+02 4.870822212270888019e-02 2.112891903385749441e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.914488710779930614e+02 3.151898038740312546e-02 2.444184054728903120e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.915795325433687140e+02 2.189498156217004055e-02 2.580547941251290327e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.918408907174865590e+02 3.725868483243294140e-03 2.777046218910683012e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.919716391757798135e+02 -3.304087030460554908e-03 2.834862402314624816e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.922332582249916015e+02 -1.344625729448408955e-02 2.861573145136713913e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.923641071643639862e+02 -1.689856541937274220e-02 2.829074906511731130e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.926258620250179945e+02 -2.090405689436834746e-02 2.667697142867378208e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.927567485334155322e+02 -2.175083059594228041e-02 2.542025238936654156e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.930185363070282847e+02 -2.170438465021282820e-02 2.211753847823211272e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.931494310940197749e+02 -2.126870673104733211e-02 2.010128239523065359e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.934112255071179902e+02 -1.973986297831122061e-02 1.544119691748455873e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.935421221265295628e+02 -1.880662988370904870e-02 1.287618485258371168e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.938039182651072849e+02 -1.670480914120602012e-02 7.547083804880115251e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.939348152295266914e+02 -1.567524740863272814e-02 4.839328013975939709e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.941966111384728322e+02 -1.373162156465126266e-02 -4.689503789406064202e-05 0.000000000000000000e+00 1.963495408493620871e-03
1.943275075908861709e+02 -1.293752674889894760e-02 -2.980676889216608795e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.945893020135206370e+02 -1.171737862634799135e-02 -7.414128391035493346e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.947201977339804841e+02 -1.137083430442294499e-02 -9.281653980108496484e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.949819908930519432e+02 -1.119427691903262037e-02 -1.213200200518864749e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.951128862053410273e+02 -1.143081743669772943e-02 -1.306858374814126285e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.953746787486514052e+02 -1.259825258675879855e-02 -1.380561473382565987e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.955055736894693723e+02 -1.363531764755834125e-02 -1.359467905212986003e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.957673664379989020e+02 -1.641458899366462360e-02 -1.197482896596250733e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.958982627375599463e+02 -1.808716057435146712e-02 -1.058400546483063368e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.961600594251617053e+02 -2.149697201386485679e-02 -6.702952858343837281e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.962909573571887165e+02 -2.296733587646655056e-02 -4.271277648621647251e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.965527564018998703e+02 -2.527343382768559854e-02 1.372781682966100559e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.966836549843754369e+02 -2.609519227144695835e-02 4.518418433522118768e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.969454547063711232e+02 -2.727408019053183946e-02 1.122715376491186792e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.970763536436062395e+02 -2.785207408483304087e-02 1.469493423685068684e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.973381536694419651e+02 -2.907688596490275168e-02 2.152928110639475579e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.974690522410884626e+02 -2.984988092046854391e-02 2.480096304976624894e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.977308514241896660e+02 -3.154594012900610589e-02 3.072694269563610529e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.978617502067101839e+02 -3.241902325232762228e-02 3.330394451666437300e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.981235501715468388e+02 -3.426124721858188338e-02 3.742004616235297329e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.982544488541918781e+02 -3.534680974373384521e-02 3.889117963990403656e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.985162483946052987e+02 -3.768713036453760767e-02 4.042594959835789023e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.986471473537217776e+02 -3.890064599781244137e-02 4.047148625574904790e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.989089477906196635e+02 -4.142679520740250032e-02 3.905682546015329035e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.990398468948505126e+02 -4.283164881925606571e-02 3.761454902811435866e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.993016474218603094e+02 -4.581322281937925955e-02 3.332205035813985000e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.994325468110750137e+02 -4.738428115202705793e-02 3.052794316768771971e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.996943482088511530e+02 -5.062426576862380512e-02 2.383741958406707280e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.998252480481758653e+02 -5.232987315194542743e-02 2.003881308648204976e-03 0.000000000000000000e+00 1.963495408493620871e-03
2.000870503250665990e+02 -5.587382950463361253e-02 1.187167858620075903e-03 0.000000000000000000e+00 1.963495408493620871e-03
2.002179505862957853e+02 -5.776234458601069155e-02 7.596763753707331222e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.004797538600406028e+02 -6.164979981700791090e-02 -1.013476609536682112e-04 0.000000000000000000e+00 1.963495408493620871e-03
