# q:-1.000000e+00, m:1.000000e+00, N:480 - x,px,py,pz,w
1.886919250496735003e+02 1.962058806998833630e-06 2.321420492548477953e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.888228242401268346e+02 7.560918570097971561e-07 1.772737394607453408e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.890846235918760385e+02 -5.963058174729720183e-07 6.475104061715306666e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.892155231683728118e+02 -8.303268832677709574e-07 8.527012394373215121e-05 0.000000000000000000e+00 1.963495408493620871e-03
1.894773227044085786e+02 -2.860795670258645703e-07 -9.812841660807917164e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.896082221319995824e+02 2.920169619448838123e-07 -1.473837719727701459e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.898700210148502094e+02 1.963148224672220927e-06 -2.330486460228011619e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.900009201027386894e+02 2.826783687001420043e-06 -2.686955995329663293e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.902627183453474231e+02 4.461431127104568877e-06 -3.225702470147200681e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.903936172074992044e+02 5.036910931571974197e-06 -3.405313635827632822e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.906554151942038970e+02 5.685241460724314233e-06 -3.574357485731361611e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.907863140684726488e+02 5.651280335694029074e-06 -3.565890326216660834e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.910481122865041073e+02 5.053632277154848923e-06 -3.371378486113585544e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.911790113867152172e+02 4.474019897106295362e-06 -3.191723038766927211e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.914408101451410005e+02 3.090138037130299589e-06 -2.693164122483720710e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.915717095479754448e+02 2.316963216013926475e-06 -2.383410130633385488e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.918335088380496813e+02 9.606463068766680987e-07 -1.679541756636702618e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.919644084625758467e+02 3.966880640751801617e-07 -1.295904274505763022e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.922262080125122168e+02 -2.613651572337236790e-07 -5.071191661293644910e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.923571076879268276e+02 -3.877851665899056616e-07 -1.121051035233227655e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.926189071504639116e+02 -1.580422466226342779e-07 6.386432665671966380e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.927498067215183823e+02 1.115848970367619445e-07 9.861648400932426783e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.930116058716977250e+02 9.135471783122579068e-07 1.592661631106522067e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.931425052784090610e+02 1.334659080613104800e-06 1.846171573734679740e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.934043041130233291e+02 2.140990214766030543e-06 2.231860162961287267e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.935352034061401980e+02 2.430617037484554450e-06 2.362128155663291949e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.937970021075094280e+02 2.768281039624951252e-06 2.489871911972444014e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.939279014017532177e+02 2.763884280122719468e-06 2.488779013179131389e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.941897002074677800e+02 2.493955826146033376e-06 2.362389084058423745e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.943205996083332252e+02 2.220333153334567035e-06 2.241429755833003034e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.945823986734206983e+02 1.555956584881569089e-06 1.901331337903139958e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.947132982210546004e+02 1.180911973469903506e-06 1.688624603124104593e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.949750975471794163e+02 5.148517029205872381e-07 1.203622511434450024e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.951059972049874034e+02 2.345081387708537907e-07 9.385297311213413240e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.953677966645034019e+02 -1.034921069262983949e-07 3.919674440429663604e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.954986963509874158e+02 -1.750166107706935201e-07 1.175897306278575602e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.957604957763457207e+02 -8.457416778303447009e-08 -4.049953831373790357e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.958913954157671924e+02 3.715984835400172479e-08 -6.474580806238893534e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.961531946955119565e+02 4.112116958577904198e-07 -1.071748131565135060e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.962840942569950755e+02 6.110099321655102195e-07 -1.249813449099562886e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.965458933852370649e+02 9.983132232686471290e-07 -1.522738691662929231e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.966767928911305034e+02 1.140138476205857720e-06 -1.616134930638857617e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.969385919521531889e+02 1.310709861583329873e-06 -1.710940916549574722e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.970694914564294322e+02 1.314186383270989027e-06 -1.713384222682936848e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.973312905632387810e+02 1.195732084831360896e-06 -1.632485721252862699e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.974621901165646989e+02 1.069874305143539034e-06 -1.552053721337245430e-03 0.000000000000000000e+00 1.963495408493620871e-03
