# q:1.000000e+00, m:1.836000e+03, N:480 - x,px,py,pz,w
1.886919087573839988e+02 5.416611082832132912e-07 -2.321490097198850369e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.888228084514622935e+02 6.268224972092711917e-07 -1.772804959501995438e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.890846078393826701e+02 6.869842319849594746e-07 -6.475790282407108914e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.892155075332745184e+02 6.847800624035551708e-07 -8.533566511060761660e-05 0.000000000000000000e+00 1.963495408493620871e-03
1.894773069209812490e+02 6.430945370813814602e-07 9.812221358147556194e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.896082066148362628e+02 6.221395905646816936e-07 1.473781521150226669e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.898700060025527989e+02 5.822323486386919991e-07 2.330441052592157128e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.900009056964134402e+02 5.628576976850420347e-07 2.686918711885957246e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.902627050841383607e+02 5.255665884486771884e-07 3.225679871472456658e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.903936047780024126e+02 5.078732080936724714e-07 3.405298891217735640e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.906554041657348648e+02 4.746462759785328723e-07 3.574355888970571181e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.907863038596023841e+02 4.592246454594057033e-07 3.565894089273832258e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.910481032473408334e+02 4.307808640755096066e-07 3.371390781993088056e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.911790029412109675e+02 4.176644035462567156e-07 3.191737804881619300e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.914408023289547884e+02 3.934658016960544632e-07 2.693183325289119460e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.915717020228274237e+02 3.821300583050242867e-07 2.383430009880662011e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.918335014105757068e+02 3.607583729062876992e-07 1.679563975573340664e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.919644011044507295e+02 3.504367968802950090e-07 1.295926342572830108e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.922262004922031622e+02 3.303887677403868503e-07 5.071421878175097313e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.923571001860802312e+02 3.204715413262645332e-07 1.121272198042226262e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.926188995738370693e+02 3.008796560692896255e-07 -6.386222831551565879e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.927497992677162983e+02 2.911668694780190771e-07 -9.861457827989453598e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.930115986554770870e+02 2.720682656485569082e-07 -1.592646137715505745e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.931424983493585330e+02 2.627656451853349857e-07 -1.846158799683405953e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.934042977371229881e+02 2.448481402707320602e-07 -2.231852319771646109e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.935351974310060257e+02 2.363486508938957550e-07 -2.362122963244674481e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.937969968187741472e+02 2.203955819036053240e-07 -2.489871158635941460e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.939278965126590037e+02 2.130000576354608027e-07 -2.488780076920841557e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.941896959004298822e+02 1.993822430410741492e-07 -2.362393020161923738e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.943205955943159893e+02 1.931184957438802871e-07 -2.241434532579783707e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.945823949820895109e+02 1.815971943488443755e-07 -1.901337588763803458e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.947132946759766980e+02 1.762190189351461951e-07 -1.688631074778535477e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.949750940637523513e+02 1.661155100902814560e-07 -1.203629731476201122e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.951059937576406753e+02 1.612512365962631008e-07 -9.385369024500648865e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.953677931454183465e+02 1.518282358263309924e-07 -3.919749306104151833e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.954986928393076937e+02 1.471743492245631650e-07 -1.175969299158047092e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.957604922270873828e+02 1.379902073470937101e-07 4.049885327417608680e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.958913919209775827e+02 1.334379804043731985e-07 6.474518453830101824e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.961531913087594035e+02 1.244862240812620504e-07 1.071743036161944967e-03 0.000000000000000000e+00 1.963495408493620871e-03
