# q:1.000000e+00, m:1.836000e+03, N:480 - x,px,py,pz,w
1.886927024388343739e+02 7.072175548208625706e-02 9.783014256433352207e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.888238944887149557e+02 1.021971888790172422e-01 9.850600119739640892e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.890862318675984284e+02 1.682142165823909130e-01 9.476057438779871278e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.892172857546410967e+02 1.927202786992160966e-01 9.044146886526852613e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.894792034917702779e+02 2.225633049545709119e-01 7.729914855973246679e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.896101079502095104e+02 2.273376678933810568e-01 6.869689512372222362e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.898718570034719448e+02 2.241374704283339292e-01 4.827460408967206296e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.900027345111842578e+02 2.219583235871011029e-01 3.674631921689420766e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.902644979401570140e+02 2.179955788679504292e-01 1.218381096182230006e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.903953818838844825e+02 2.167375543804540283e-01 -5.191035042660108179e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.906571521704727843e+02 2.150135511969268887e-01 -2.549598838411372137e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.907880368947348018e+02 2.139580324613133688e-01 -3.745101990071513232e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.910498059785867611e+02 2.115809927438970783e-01 -5.906989594821776546e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.911806906166739850e+02 2.103823829837261072e-01 -6.847756844032990564e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.914424602964206485e+02 2.080094440758264440e-01 -8.350559285159834255e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.915733452198159625e+02 2.068272361402368476e-01 -8.896926143500019091e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.918351154106638887e+02 2.045001268923943294e-01 -9.519520302011357238e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.919660005820860817e+02 2.033501128151503079e-01 -9.592393260820852863e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.922277712550133799e+02 2.010989786605798524e-01 -9.248664744070125288e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.923586566652345482e+02 1.999858428098656993e-01 -8.841243096684407998e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.926204278081362133e+02 1.977983034597873280e-01 -7.591000629371893460e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.927513134534144683e+02 1.967042052795333618e-01 -6.768520766275656353e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.930130850641501752e+02 1.945263062171200819e-01 -4.807647999442374864e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.931439709470876949e+02 1.934197183263261510e-01 -3.697614310530534243e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.934057430372172348e+02 1.911871111932043621e-01 -1.328142158954318530e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.935366291658508260e+02 1.900426832475876071e-01 -1.004385601263935168e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.937984017541541277e+02 1.877219204285071052e-01 2.318055454884391242e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.939292881374249760e+02 1.865356294740799226e-01 3.478037420037746186e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.941910612393388362e+02 1.841428028892578561e-01 5.580207719686232082e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.943219478820171275e+02 1.829344024126209889e-01 6.497759296137568530e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.945837215008366456e+02 1.805267818437445715e-01 7.970444647483079237e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.947146084007589195e+02 1.793288620908160269e-01 8.510385790255575733e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.949763825256943619e+02 1.769724903985293862e-01 9.138740886881508985e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.951072696749981503e+02 1.758116977548138671e-01 9.223878211049878484e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.953690442873121071e+02 1.735435500219493776e-01 8.923602251321970380e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.954999316767612640e+02 1.724261426585175783e-01 8.546734639757426200e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.957617067599771588e+02 1.702351918530990438e-01 7.373000171215653431e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.958925943839500974e+02 1.691440203028273803e-01 6.595481023532073772e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.961543699327352783e+02 1.669777016769606881e-01 4.734600959791750441e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.962852577921985073e+02 1.658817701550207302e-01 3.678173480049210520e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.965470338148477083e+02 1.636760736317151022e-01 1.418326766135303008e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.966779219163073549e+02 1.625494188727344413e-01 2.450648625488832666e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.969396984287249950e+02 1.602688443526295581e-01 -2.070595348357531229e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.970705867798065469e+02 1.591064519100529595e-01 -3.183636188861374006e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.973323637950383045e+02 1.567650031666582011e-01 -5.205714741609057672e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.974632523994813766e+02 1.555852780123184731e-01 -6.091181628751638488e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.977250299190169471e+02 1.532373552949334305e-01 -7.519116747290605085e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.978559187738586331e+02 1.520717924934918419e-01 -8.047083707412736597e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.981176967853866415e+02 1.497821148577218042e-01 -8.674566595356959509e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.982485858819655959e+02 1.486573809357906173e-01 -8.770818081962965529e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.985103643650502647e+02 1.464638048276664661e-01 -8.515788738867223762e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.986412536931975978e+02 1.453867555688351243e-01 -8.172424946238722177e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.989030326292980249e+02 1.432799096206436307e-01 -7.085160146974502915e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.990339221821896842e+02 1.422346712375871514e-01 -6.359327814352093711e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.992957015632443927e+02 1.401651264602491453e-01 -4.614140190173382505e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.994265913403251886e+02 1.391222319470832303e-01 -3.620208121987167904e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.996883711714922640e+02 1.370279748517296836e-01 -1.489338010317400041e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.998192611778372338e+02 1.359610402796467277e-01 -3.807460871564535831e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.000810414723445945e+02 1.338043877816789406e-01 1.811628821164360525e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.002119317142816612e+02 1.327077089494778095e-01 2.867754904680064332e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.004737124827635171e+02 1.305012725371538784e-01 4.791462315031107533e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.006046029630664691e+02 1.293917115122071027e-01 5.636716170944331417e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.008663842054806139e+02 1.271858317254006554e-01 7.006507047905237151e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.009972749206060030e+02 1.260930882651525309e-01 7.517400096666457809e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.012590566237552423e+02 1.239495180314417744e-01 8.137748455860909225e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.013899475646668407e+02 1.228993039838493229e-01 8.243763575582082614e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.016517297073900750e+02 1.208551140551840375e-01 8.034119576414926467e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.017826208634681109e+02 1.198546796248320112e-01 7.725859350261300440e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.020444034260622743e+02 1.179026706536688979e-01 6.731704321410405534e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.021752947896748935e+02 1.169378284143100521e-01 6.062529998088235228e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.024370777620186175e+02 1.150327465762217838e-01 4.445885780515844155e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.025679693313394978e+02 1.140761607364655372e-01 3.521923413320642293e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.028297527157256184e+02 1.121596997121223904e-01 1.535321312549426109e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.029606444943684096e+02 1.111858922958292445e-01 4.993225503844397895e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.032224283012351407e+02 1.092200431217617701e-01 -1.553130446554882305e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.033533202943899312e+02 1.082217848341358590e-01 -2.543949747158690267e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.036151045324795064e+02 1.062149091019608943e-01 -4.353795701292886289e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.037459967421197859e+02 1.052074521614741465e-01 -5.151932533348484444e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.040077814101676665e+02 1.032067396608551402e-01 -6.452355600201578056e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.041386738324542307e+02 1.022174317682390254e-01 -6.941669177780138700e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.044004589171615578e+02 1.002793655614729190e-01 -7.547439705875718108e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.045313515431555516e+02 9.933206962510884863e-02 -7.660664295227348486e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.047931370236595399e+02 9.749193138940016878e-02 -7.495157404259793488e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.049240298427615983e+02 9.659429785054476914e-02 -7.223034843178854914e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.051858156990837472e+02 9.484759366184471185e-02 -6.326260401975460912e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.053167087032917948e+02 9.398727126569524082e-02 -5.716938977951467882e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.055784949241045467e+02 9.229310582471196567e-02 -4.237077227975235560e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.057093881107398943e+02 9.144503794227162863e-02 -3.388123875813319752e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.059711746961486369e+02 8.974976560705356932e-02 -1.557539960830192638e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.061020680675150913e+02 8.889060625599581877e-02 -6.005034062470712697e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.063638550252217101e+02 8.715873871776115556e-02 1.299805140626646427e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.064947485853710134e+02 8.628042635808558236e-02 2.219337345523746396e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.067565359223456483e+02 8.451572739921531241e-02 3.903280858820131760e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.068874296726992839e+02 8.363076150844730994e-02 4.648466045419754611e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.071492173871757529e+02 8.187449270754762476e-02 5.869241544939501898e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.072801113239487449e+02 8.100737197367696707e-02 6.332704290696161697e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.075418994032285696e+02 7.931085508194485323e-02 6.917850473140898515e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.076727935179481221e+02 7.848352998068830466e-02 7.036247560463044781e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.079345819422410386e+02 7.687985351901474584e-02 6.911763653214813008e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.080654762247503697e+02 7.610009821209921810e-02 6.674917141588811997e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.083272649746911895e+02 7.458696646436754896e-02 5.876005480861129504e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.084581594170646781e+02 7.384416944513590153e-02 5.327874568229364893e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.087199484809825947e+02 7.238522199116721734e-02 3.989553193985054258e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.088508430800636120e+02 7.165692269823430161e-02 3.218887136010827876e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.091126324565569234e+02 7.020392226451310780e-02 1.551992351594683184e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.092435272136836772e+02 6.946906557382713510e-02 6.781590440428811317e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.095053169082582087e+02 6.798976746306625851e-02 -1.061447305440990085e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.096362118264277115e+02 6.724068651654678541e-02 -1.905460082157630630e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.098980018442808557e+02 6.573681615138386725e-02 -3.455591427311709429e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.100288969244402892e+02 6.498325937457040402e-02 -4.143991162056315236e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.102906872636218623e+02 6.348859250545653421e-02 -5.277179954810693463e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.104215825022547222e+02 6.275158297970634402e-02 -5.710838208734035915e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.106833731511829910e+02 6.131135383388408577e-02 -6.268150874417407481e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.108142685405802865e+02 6.061053516403874797e-02 -6.388744656339550021e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.110760594812353190e+02 5.925479696964994908e-02 -6.301715425577114615e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.112069550121092902e+02 5.859746106127641102e-02 -6.099284495899913727e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.114687462266279852e+02 5.732522855680084739e-02 -5.397272820074818789e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.115996418914940591e+02 5.670279116699791788e-02 -4.910183702925368654e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.118614333684481608e+02 5.548364724999428621e-02 -3.713519372271923968e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.119923291639205729e+02 5.487680366487774491e-02 -3.021614011938862365e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.122541209008458623e+02 5.366862461735788514e-02 -1.520913948384673420e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.123850168275147041e+02 5.305874618578851343e-02 -7.322242412990220828e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.126468088281522739e+02 5.183255916239960792e-02 8.418981573736583623e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.127777048881644077e+02 5.121243498454582099e-02 1.607636385192638961e-01 0.000000000000000000e+00 1.963495408493620871e-03
