# q:-1.000000e+00, m:1.000000e+00, N:480 - x,px,py,pz,w
1.887599370450697620e+02 2.153817883455666840e-03 1.086325007996767067e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.888863091441936319e+02 4.295660123573574740e-03 1.304442919847332294e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.891428239267477238e+02 9.333287521801621883e-03 1.672406321925979933e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.892708851375359416e+02 1.169313741529087389e-02 1.812266859614078129e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.895293306657443679e+02 1.536103930130401987e-02 1.997186720995896558e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.896575788582957784e+02 1.622558270289866517e-02 2.038830006626174418e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.899158922695572471e+02 1.605859437659791500e-02 2.020223810227805006e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.900445046109154532e+02 1.496453009024754227e-02 1.962367472058604012e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.903041781118497511e+02 1.135239854417235961e-02 1.752187318332584232e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.904336907518751048e+02 8.989314515561600341e-03 1.606593806349199960e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.906952481933795980e+02 4.086988645312318938e-03 1.240885489475762049e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.908256576388221504e+02 1.776052908708523545e-03 1.031027408877941975e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.910885668339363690e+02 -1.677192355067815520e-03 5.679911180865492709e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.912193884161745245e+02 -2.718131616324956281e-03 3.272004853212381881e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.914824046881025481e+02 -2.965636854407788237e-03 -1.595812321050964211e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.916129805288398416e+02 -2.325844389801768643e-03 -3.932354924215905601e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.918749327309104160e+02 4.180000062368469452e-04 -8.282267440708754314e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.920048370500527710e+02 2.151722215061779159e-03 -1.019579799955383226e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.922653019349181989e+02 6.001240583049309921e-03 -1.340388863249162843e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.923945547028615692e+02 7.693984662923047252e-03 -1.463658353439832860e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.926539891301772798e+02 1.037255750414041097e-02 -1.630581131151437879e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.927829820229551956e+02 1.104617807549375386e-02 -1.672150916972861279e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.930423604067121346e+02 1.117332065833273255e-02 -1.670368846331465318e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.931716058655245263e+02 1.050336557502781591e-02 -1.628665493739404613e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.934318589021686989e+02 8.202476100097184225e-03 -1.466674233266989646e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.935617137239514420e+02 6.612863076214607616e-03 -1.351190692233790180e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.938232438480360713e+02 3.302789393652638249e-03 -1.058639782142630492e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.939537281384129983e+02 1.683892115478681723e-03 -8.888308083421339600e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.942162176695510141e+02 -7.672968673666930028e-04 -5.135057612122644055e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.943470197980156513e+02 -1.571961077701573232e-03 -3.166614141235696289e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.946096507192806939e+02 -1.916142451823885399e-03 8.173638811568934015e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.947403277162598840e+02 -1.587844030124477713e-03 2.746832138368322795e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.950022945572878825e+02 1.247506804898032562e-04 6.348204324840259205e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.951325405557213060e+02 1.235683470639166101e-03 7.949973203330212845e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.953935108771111402e+02 3.805023910423900591e-03 1.065173501345192120e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.955233134442436267e+02 4.950787792330732170e-03 1.170767555065317933e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.957835522869799831e+02 6.839645544921149102e-03 1.316772969604507737e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.959131603734709870e+02 7.340558761190772372e-03 1.355671837251662404e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.961733108540305466e+02 7.557578508045358079e-03 1.363644400099696952e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.963030701998267489e+02 7.159084451108302209e-03 1.333884224589463319e-01 0.000000000000000000e+00 1.963495408493620871e-03
