# q:-1.000000e+00, m:1.000000e+00, N:480 - x,px,py,pz,w
1.803463158170155225e+02 8.375309702848160454e-02 -8.678741224474964024e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.687597390791593455e+02 -1.306523272219559939e-01 7.442491178969285164e-05 0.000000000000000000e+00 1.963495408493620871e-03
1.905790096883261526e+02 2.543962323363565536e-01 -4.309168253223530191e-03 0.000000000000000000e+00 1.963495408493620871e-03
2.040039904057635738e+02 4.407752491389518856e-01 -1.407360567092493485e-03 0.000000000000000000e+00 1.963495408493620871e-03
2.023473787851770282e+02 2.961873979513915955e-01 1.595417591742049473e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.962812984883266836e+02 9.472130898879613237e-02 1.951035935353668052e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.923446364624511773e+02 6.658234446641392301e-02 -2.361626408068511623e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.906668616008003596e+02 1.250501369598037427e-01 1.421896764741497309e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.874300194581378491e+02 8.483430469044303535e-02 -6.983263213850270795e-05 0.000000000000000000e+00 1.963495408493620871e-03
1.890188565094157696e+02 1.528591804141284372e-01 1.991264316940641668e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.911569413318122770e+02 9.489902107165540390e-02 -1.603029675568261227e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.914379329129735936e+02 6.282313708853051737e-02 -9.736525044599528495e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.914016474545575477e+02 3.275004064747454036e-02 -1.890601221449713602e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.915438017586192814e+02 2.590901702303212428e-02 -1.084779845968660266e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.918443394278507128e+02 2.661676241626752953e-02 -2.259484478234113306e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.919888889816245978e+02 2.824350341667007658e-02 -1.398964115258647181e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.922248311994819687e+02 3.259629352822032700e-02 -2.318674373675187316e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.923431404083580389e+02 3.333178779607115505e-02 -1.406286710296142731e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.925428928155431265e+02 3.356510325909832504e-02 -2.189199475729777800e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.926603639479860703e+02 3.213615865868262034e-02 -1.206300863045477092e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.928625866983535104e+02 2.909250826124575723e-02 -1.867888211730648479e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.929771414839012778e+02 2.591598291383104963e-02 -8.485038464063473715e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.932095531225022000e+02 2.149286891105885861e-02 -1.347942699898579174e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.933488611066738656e+02 1.827781859309867557e-02 -2.464059640732872355e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.935847006756249584e+02 1.360000869942253054e-02 -6.370501415619931468e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.937474124688020254e+02 1.075561811488673705e-02 5.422171358633011895e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.940150949307994495e+02 6.766956339405990478e-03 2.520799838270225586e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.941776163348143314e+02 4.381960105998995020e-03 1.416482025238714705e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.944692616614889857e+02 2.006294811917596135e-03 1.131516505274797208e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.946422497430658041e+02 7.740471652490036464e-04 2.220298566077924009e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.949403344068198862e+02 5.349170141190576905e-04 1.772428036279656951e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.951198471993963892e+02 8.086513833808388688e-04 2.702631505299317623e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.954169093256178940e+02 3.037969239972971788e-03 1.988370844494374325e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.955933140772927175e+02 4.826799287259255986e-03 2.705824057017471810e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.958797777545728707e+02 9.349575138214015479e-03 1.702664789865209697e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.960459848059647925e+02 1.192112468325096444e-02 2.229899219431032836e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.963154429579759892e+02 1.597011522458090943e-02 1.010176589146472709e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.964729163306769806e+02 1.731161275499325941e-02 1.408115877451660090e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.967335533624624304e+02 1.907341611768181844e-02 6.545171709366592178e-05 0.000000000000000000e+00 1.963495408493620871e-03
1.968906152678025308e+02 1.943361319011721600e-02 3.766337121194807038e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.971504735557379888e+02 2.065442882619942383e-02 -1.012736548984286174e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.973095853250829919e+02 2.119016995963537292e-02 -7.303516498005945858e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.975694743562182509e+02 2.274389732143487775e-02 -2.052768151720987724e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.977290916323458418e+02 2.354631181663812550e-02 -1.723311734807238000e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.979902670860757325e+02 2.556569260023008883e-02 -2.869916374948169868e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.981491432615401607e+02 2.653933721660743650e-02 -2.429657209493177143e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.984100655325576668e+02 2.899909796372721754e-02 -3.303930215163405383e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.985689981171735496e+02 3.026185417164364844e-02 -2.705183710957241756e-03 0.000000000000000000e+00 1.963495408493620871e-03
