# q:1.000000e+00, m:1.836000e+03, N:480 - x,px,py,pz,w
1.884362260045739390e+02 -2.420770722906805617e+00 9.729606787216671208e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.885919279444532037e+02 -2.188022354126531788e+00 9.716680685340911301e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.889172630737942313e+02 -1.595055909285742146e+00 9.720462652640057041e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.890769782060213231e+02 -1.314782541852557163e+00 9.696601872760334494e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.893880723706644460e+02 -8.190887639820167987e-01 9.658632089786791611e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.895392880628587022e+02 -6.086735642929167467e-01 9.660383960589109375e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.898350869194339055e+02 -2.608889726028290057e-01 9.645703332600429232e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.899810369145747586e+02 -1.260529462032577708e-01 9.629568321939184321e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.902686047365053810e+02 6.231426554568229859e-02 9.610182721309082007e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.904097929517340901e+02 1.154744600445846425e-01 9.604503859302038725e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.906866091518996882e+02 1.634008421914470155e-01 9.592280688804273071e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.908219149322348756e+02 1.706599833145174827e-01 9.584588905869762671e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.910866892017253065e+02 1.599457442019859843e-01 9.563979972149392033e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.912163384811956348e+02 1.459891018964724618e-01 9.556905279991744721e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.914724585818877642e+02 1.149366998878895429e-01 9.559265645600304069e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.916004987125447769e+02 1.083872535715753593e-01 9.559228377608182912e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.918570642540576614e+02 9.757291890003494395e-02 9.536872786109925042e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.919858658330252013e+02 8.499175012191598211e-02 9.526309298962278276e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.922439367182120407e+02 4.538265195997605306e-02 9.535736679903124638e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.923727584696470672e+02 1.793910040970096709e-02 9.541409775275675950e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.926305087459713548e+02 -3.668577868767684130e-02 9.515282440884583089e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.927598274416973254e+02 -5.368534724796923674e-02 9.499024661013813139e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.930191915038151365e+02 -7.551093503424603781e-02 9.508999919840433607e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.931490798052427920e+02 -8.692201509213441646e-02 9.518859712200869634e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.934091655894164887e+02 -1.142593869439282039e-01 9.492476169966174940e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.935392867696365045e+02 -1.322467892447101723e-01 9.473674326103576505e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.937998371053807602e+02 -1.689024721583545774e-01 9.487681553487670606e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.939303649565404726e+02 -1.816881299104176339e-01 9.501946888459311593e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.941918797429273411e+02 -1.990360456119916188e-01 9.474911557080499275e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.943228091724775481e+02 -2.063455059096546973e-01 9.452928100654859646e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.945850609670989115e+02 -2.153927745259179294e-01 9.466083246489449213e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.947164081103453270e+02 -2.147774575241943873e-01 9.481424467910240083e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.949794176118817859e+02 -2.059455434595143797e-01 9.454538417050422153e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.951109732757381892e+02 -1.999710986461836204e-01 9.432352927384538704e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.953740351748619730e+02 -1.841591046753288108e-01 9.443505141421123985e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.955054260170582552e+02 -1.737751291917532248e-01 9.456794430563390634e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.957678295484006128e+02 -1.512275828862779947e-01 9.429167580371853458e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.958987674990613641e+02 -1.414027387712647188e-01 9.407674707154808219e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.961597501590705406e+02 -1.293420467756989933e-01 9.414923745922792239e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.962895341280647870e+02 -1.301748975244009510e-01 9.425567112299195697e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.965484770723668646e+02 -1.377584994842553645e-01 9.399280972532978937e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.966781891293243802e+02 -1.389771262277479658e-01 9.377642733372809798e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.969386927962831066e+02 -1.284602447305713269e-01 9.375301614511159353e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.970698400956653700e+02 -1.115979805190621954e-01 9.381808824557940317e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.973332243582690921e+02 -6.454096954531025887e-02 9.357928352076042098e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.974649162382656016e+02 -4.202959881631369854e-02 9.339466592103880509e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.977282054829520348e+02 -4.435033661961899909e-03 9.335399084485509168e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.978597690472539909e+02 7.292994152218373882e-03 9.339694062638380975e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.981226297922735000e+02 1.404870142952715367e-02 9.324299494958266082e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.982538391393605934e+02 7.458894227518074460e-03 9.312330904524103795e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.985158481261289865e+02 -1.726108526923390840e-02 9.306756501496224552e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.986466602956633665e+02 -2.938295351783225609e-02 9.307754418820654487e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.989077690784245078e+02 -5.678902396669575914e-02 9.298760645962049574e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.990379583022927079e+02 -7.525602123681501832e-02 9.291641206013081383e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.992980813464668586e+02 -1.127505578759638860e-01 9.282158460558222191e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.994283511827851214e+02 -1.250883449250664303e-01 9.279186224713153932e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.996891860124286779e+02 -1.389491842319373061e-01 9.274553908610017570e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.998196177726331939e+02 -1.425685895456635377e-01 9.271104022208029750e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.000805439146300557e+02 -1.461392666300271870e-01 9.255037111923877964e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.002110520539716276e+02 -1.482885597811873235e-01 9.246426363218995109e-04 0.000000000000000000e+00 1.963495408493620871e-03
