# q:-1.000000e+00, m:1.000000e+00, N:480 - x,px,py,pz,w
1.872915904021070901e+02 2.445526585374547812e-01 1.320174581887552899e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.637946712930765045e+02 -8.527901062499004814e-02 -1.658377575992964637e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.984381425946489230e+02 3.003792375190221797e-01 -3.861269824629646324e-03 0.000000000000000000e+00 1.963495408493620871e-03
2.130190740063908663e+02 1.163422070358704208e-01 7.687647344413146150e-03 0.000000000000000000e+00 1.963495408493620871e-03
2.059408465386457294e+02 1.263751703893464251e-01 6.931326904836996802e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.977312519607118020e+02 1.532165302682915453e-01 -8.603782116458728868e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.909646252785643981e+02 5.074494446130666664e-02 -1.444204859657489438e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.898165892445246072e+02 1.037963739136553709e-01 -8.511039365139604074e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.941540704443812047e+02 2.383222095429052279e-01 1.305955754707244926e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.927659091859742659e+02 1.313051617740074173e-01 7.937499643942158914e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.893026807420829982e+02 8.656319785659179200e-02 -2.573785476152838821e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.881058414120127793e+02 6.061152467510874664e-02 1.313071197205697982e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.855978421084273862e+02 -8.130362120269146731e-02 -7.238840190270798974e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.855989541728387167e+02 -8.285366548505304629e-02 -6.273318443680515888e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.870116167671133383e+02 -9.195825961941645615e-03 1.106136560488686638e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.879830442696035107e+02 4.755796539815456553e-02 1.386975770472034797e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.890217077934524355e+02 6.870785920316074824e-02 1.566180517689523544e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.894137738487156923e+02 7.255806262266040196e-02 -3.170657641635471653e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.898781352533051461e+02 6.747676181725136002e-02 -1.005693995125497668e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.900872199689117679e+02 5.821020653861603417e-02 -1.126205729600097960e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.905913389538874014e+02 4.204493109933376410e-02 -1.477694570357549961e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.908643033959278910e+02 4.215440786909791654e-02 -1.383610935163662008e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.914601331204422081e+02 4.342530124735761304e-02 -1.077030071115983069e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.916722348801085616e+02 4.250392601101104367e-02 -7.473860054544293266e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.920254173294180191e+02 4.544054284140093547e-02 -3.569936198664734953e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.922501232540298872e+02 4.899954747085565054e-02 5.806712312072370014e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.925984408274363489e+02 5.706151082405704067e-02 4.635582432548516173e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.927641884943171249e+02 6.099916162513140117e-02 7.664040567222960877e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.930852689370342432e+02 6.877006315214653775e-02 1.041479377715492927e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.932259392740649560e+02 7.138497272054802889e-02 1.256162260378934463e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.935045626980048041e+02 7.774109988214730760e-02 1.350049914403096338e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.936489494987692694e+02 8.102505791867760376e-02 1.485234911843001139e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.938929139978761214e+02 8.681667755657052066e-02 1.404622620279492862e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.940116396811976927e+02 8.868144048677509272e-02 1.455809754717957843e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.942400779452346740e+02 9.249892703922686643e-02 1.262181748873885019e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.943523910230882734e+02 9.294188044374923630e-02 1.248374791123985431e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.945606548798096753e+02 9.275978403142981499e-02 9.731891767308729901e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.946822305115815652e+02 9.181636198984308161e-02 9.009579096873304715e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.948943245523196879e+02 8.891288684579315427e-02 5.624745354560752725e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.950248470342110920e+02 8.634026502080016652e-02 4.620040966130944948e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.952749960568561676e+02 8.174999704524164856e-02 4.763003019911688646e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.954182255181025880e+02 7.855616861850897581e-02 -8.494468995541388720e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.957014366044188307e+02 7.427444299522353854e-02 -5.423497319868967464e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.958728206991850698e+02 7.221334051296007805e-02 -7.053090200496995449e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.961867035398577173e+02 7.086446655968695052e-02 -1.130381880723393961e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.963580254735996107e+02 7.072635276168517948e-02 -1.219423488474010928e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.966741881641232226e+02 7.328768563716898943e-02 -1.459729015711295867e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.968483376418653563e+02 7.590543993425312441e-02 -1.428646489521124587e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.971425542026991309e+02 8.238921151661418585e-02 -1.437741615179260850e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.972963688578877282e+02 8.632600059564490835e-02 -1.289840670416939755e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.975573372590860401e+02 9.451935575159391145e-02 -1.133656912105925063e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.976952616770030318e+02 9.846539450575975128e-02 -9.319177409437042967e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.979249553136002078e+02 1.043674327658009465e-01 -7.163529932987331567e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.980488199292077240e+02 1.064919480977617461e-01 -5.047463442851337495e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.982637344183742130e+02 1.098218415425639138e-01 -2.794924939597608765e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.983827825876030886e+02 1.107660382982082331e-01 -6.227882296833053485e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.985907727451723019e+02 1.123333409070237376e-01 1.538717426153067037e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.987066106170929629e+02 1.124075420481556870e-01 3.619910403272497915e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.989086515868147274e+02 1.127736603693963308e-01 5.486028640161856249e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.990261403374672682e+02 1.124071093640718749e-01 7.321449396815642684e-03 0.000000000000000000e+00 1.963495408493620871e-03
