# q:1.000000e+00, m:1.836000e+03, N:480 - x,px,py,pz,w
1.886815237286870115e+02 -6.195826039228304882e-01 -3.519136446870024457e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.888150122253943266e+02 -5.475823118313389859e-01 -5.666300056331924351e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.890828066468916973e+02 -3.665253511294536137e-01 -9.710984051709767306e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.892160385713353037e+02 -2.862150535732496670e-01 -1.153792240395540639e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.894809958754231900e+02 -1.533345718546817449e-01 -1.457984767370368653e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.896127001605141800e+02 -1.032224454838858996e-01 -1.575645574968701640e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.898751522877816171e+02 -2.583744655207928509e-02 -1.727993643703153864e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.900063484033905752e+02 9.064976890150814801e-03 -1.760558841742689354e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.902687382124590840e+02 7.159905558630966227e-02 -1.729249043050770998e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.903999249650051695e+02 9.861283129863579466e-02 -1.665409571627634450e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.906622386136828027e+02 1.422187710298207231e-01 -1.441553060044450073e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.907933291524238655e+02 1.573780606410421223e-01 -1.284306199352801270e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.910553750968522024e+02 1.728024613069907289e-01 -8.886425382959819985e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.911863288983772691e+02 1.719836231308600194e-01 -6.557811386963904692e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.914481365854043986e+02 1.604185490347921350e-01 -1.388266837758637615e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.915790138054566114e+02 1.547059015900132395e-01 1.380717186041390682e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.918407442489594246e+02 1.453120769923491318e-01 7.041168378965664831e-03 0.000000000000000000e+00 1.963495408493620871e-03
