# q:-1.000000e+00, m:1.000000e+00, N:480 - x,px,py,pz,w
1.849669751755851621e+02 -1.438914388121489418e-01 -3.367718660173526501e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.845678091710114757e+02 -1.770351043853232442e-01 -3.383247282878544260e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.852537918613103898e+02 -1.307106636614066286e-01 -3.048047898698499347e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.861912576347866377e+02 -1.144720626864445256e-01 -2.852720569273226037e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.872088606378618181e+02 -1.699384768115811198e-02 3.149713169029136339e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.876131302166284627e+02 3.455583097491161937e-02 3.880299980403888460e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.880762198417960747e+02 6.801558162148960140e-02 3.900790058436353624e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.884008535452517776e+02 7.228157010067826072e-02 3.426945227637172020e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.887437496430052306e+02 5.941400941577796441e-02 2.511297459602587212e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.889432364058478981e+02 4.652032611084949698e-02 1.836735743431638923e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.891745949713821346e+02 3.239836321089562682e-02 9.365525797996662738e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.893410421175689464e+02 2.566324346004219409e-02 2.555287648699915148e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.895604567408124979e+02 2.487340685239268490e-02 -6.908531875642925923e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.897231266090478812e+02 2.904892225657940141e-02 -1.374112120747759125e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.899369419621789632e+02 4.197614736620591813e-02 -2.252019067494096527e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.900953760907494257e+02 5.370646689930361206e-02 -2.834519588362634512e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.903026716377788716e+02 7.207483135121291185e-02 -3.514604812180693871e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.904574683034138332e+02 8.372883690626627129e-02 -3.917651547078828678e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.906604736299929925e+02 9.712128574336252596e-02 -4.321860481376300078e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.908139894278007773e+02 1.016677296355547044e-01 -4.501658645114641200e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.910165636464934948e+02 1.026832926746927555e-01 -4.592387366674541838e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.911722133004162743e+02 9.652643120844230096e-02 -4.526381970780747888e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.913791224955344887e+02 8.315335243699276124e-02 -4.287013359427259140e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.915403008292778111e+02 6.708228253155093523e-02 -3.963300460833129035e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.917553560720914447e+02 4.344982862795437883e-02 -3.391107027743155977e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.919239712137765821e+02 2.316288968392300751e-02 -2.815325455817005995e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.921477612546916305e+02 -2.562921943971493977e-04 -1.941935341889780564e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.923221675912605519e+02 -1.488084866372939297e-02 -1.162873807310111085e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.925498293596864414e+02 -2.476015234120779174e-02 -9.498748577622950773e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.927244226750237317e+02 -2.495190427931990793e-02 7.687564434178567607e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.929481349824485505e+02 -1.504677426069775045e-02 1.840971380127310875e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.931175711684860232e+02 -1.332793355478499586e-03 2.628351911273779651e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.933330840076563391e+02 2.073959323777886665e-02 3.509799428946686062e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.934962890167574017e+02 3.861454016591625571e-02 4.093475309825905795e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.937050348141702614e+02 5.834731938446947874e-02 4.663233919880651612e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.938646301231036091e+02 6.958667353376835063e-02 4.978306828682312890e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.940714517181905592e+02 7.544198078183544931e-02 5.183372691197835058e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.942317471859595344e+02 7.358210677149924772e-02 5.202627757099529404e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.944426889745120093e+02 6.086193714880819977e-02 5.018436454121988355e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.946083092274485864e+02 4.515921220546153386e-02 4.727712453443043694e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.948289398553816625e+02 1.704151496610113031e-02 4.139943215709172009e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.950032663594460018e+02 -6.770496699728373313e-03 3.537384707215357471e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.952357986910323859e+02 -3.822660543516043230e-02 2.562146650625647393e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.954179863822254788e+02 -5.774417894922767580e-02 1.689431483042250770e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.956571366428328815e+02 -7.405794771181065106e-02 4.353905745636604818e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.958401764337512816e+02 -7.590404322675449456e-02 -5.704164758684171499e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.960749921385519770e+02 -6.568010680679403634e-02 -1.862590777714706602e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.962512667378094022e+02 -4.861464774107063930e-02 -2.788538312442647715e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.964753625715232772e+02 -2.087642066174538041e-02 -3.853627327359400168e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.966433192509810510e+02 2.199041485412750463e-03 -4.531096798559837158e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.968585210713680169e+02 2.762220709350787784e-02 -5.214515637694460137e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.970216472401301075e+02 4.232481192819104177e-02 -5.568383375249249534e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.972342204121692930e+02 5.019116190533044752e-02 -5.813841480797136141e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.973979889880843928e+02 4.839294291241398593e-02 -5.818449542094628057e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.976155761735151373e+02 3.282479118815323504e-02 -5.602233487653022204e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.977857739604275196e+02 1.386009256068941597e-02 -5.242185112267442326e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.980154620184526664e+02 -2.086824790317824696e-02 -4.545411482303615691e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.981962886517355855e+02 -4.930398880853378851e-02 -3.815282641188116330e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.984406888888234164e+02 -8.705009518039591443e-02 -2.653218088886358794e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.986304068815126698e+02 -1.082061717239826970e-01 -1.604994441927893312e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.988814514007353864e+02 -1.241484523403892370e-01 -1.239964321972170103e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.990699002775758970e+02 -1.209455903145052191e-01 1.052016482354862781e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.993130602432734406e+02 -1.028328387149235051e-01 2.521329753248573446e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.994913237700012587e+02 -7.740562653853390318e-02 3.547991221723507671e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.997208093630324299e+02 -4.202146143875561818e-02 4.682704639230053090e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.998889318485406648e+02 -1.346502436174174672e-02 5.380962169999476963e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.001091376077582140e+02 1.337777833193474694e-02 6.031679974900796548e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.002724618901852693e+02 2.831381814077326212e-02 6.344918098465566203e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.004918259989030389e+02 3.046952911435659231e-02 6.471494682002616461e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.006572146972631856e+02 2.429755169496617545e-02 6.385492219518107415e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.008850959603226727e+02 -2.107982233031255315e-03 5.965540545484444568e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.010593600430894412e+02 -2.767192908202062429e-02 5.464229688602788571e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.013037277601938229e+02 -7.346915134914946965e-02 4.474298878417127812e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.014908205547466196e+02 -1.059588417442440533e-01 3.555558246834419345e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.017516097083285445e+02 -1.459954618109311764e-01 2.036904606201027368e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.019460259434503939e+02 -1.622597544535618608e-01 7.991680084959879027e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.022077530226530939e+02 -1.650471475124391518e-01 -9.871325212452419784e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.023954633258810816e+02 -1.493235521766591023e-01 -2.253373197214880719e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.026418099824833519e+02 -1.131613244199874274e-01 -3.844381388020937651e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.028165195949871986e+02 -7.937767474685850089e-02 -4.825350281258373730e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.030468059885706964e+02 -3.577221690826934419e-02 -5.910048203950879486e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.032123841142417859e+02 -8.509258388004604587e-03 -6.473424981357125407e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.034350759367615638e+02 1.421000010842990088e-02 -6.967757357817789821e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.035989047484287369e+02 2.005579680616274840e-02 -7.090396386071149415e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.038247399109142464e+02 9.411823408616515341e-03 -6.980013282621083670e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.039948803761137128e+02 -9.852543496482527030e-03 -6.650946408365716600e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.042346823869471848e+02 -5.172250707063141828e-02 -5.909807113160238101e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.044183152508844614e+02 -8.865627770911632677e-02 -5.105874080491894507e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.046789123258996028e+02 -1.423939046721022228e-01 -3.714876531903135159e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.048764949765389076e+02 -1.749315154386638094e-01 -2.458593341595449733e-01 0.000000000000000000e+00 1.963495408493620871e-03
2.051489464618144893e+02 -2.020985832940464244e-01 -5.609398653272923418e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.053462349738861974e+02 -2.009457485582846759e-01 9.182891653286240352e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.056070904859651876e+02 -1.755129326610636586e-01 2.840658235591982939e-01 0.000000000000000000e+00 1.963495408493620871e-03
