# q:1.000000e+00, m:1.836000e+03, N:480 - x,px,py,pz,w
1.886919193135713044e+02 2.987243937470835005e-03 -9.584694659011294693e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.888228207355859070e+02 3.494300246053587758e-03 -1.196876206538916576e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.890846214612093945e+02 3.908052912547702734e-03 -1.596542462201190893e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.892155211976242128e+02 3.924686867081628866e-03 -1.754091355220015747e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.894773199658404508e+02 3.743967020199810529e-03 -1.969780227907312331e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.896082193735506962e+02 3.663448930261829078e-03 -2.026833447207532224e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.898700182581647198e+02 3.527813923089597251e-03 -2.035010866601772994e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.900009177081711869e+02 3.463689576086175989e-03 -1.987717366511037309e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.902627166212716361e+02 3.341610300247615031e-03 -1.796694558080056958e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.903936160834439022e+02 3.283125181704686039e-03 -1.656859401867945003e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.906554150203656945e+02 3.170785078694159011e-03 -1.304114962340734429e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.907863144942873248e+02 3.115941193404128760e-03 -1.096725134536015445e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.910481134543692008e+02 3.008468013153869740e-03 -6.419831509454185237e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.911790129398235649e+02 2.954924754936890611e-03 -4.008815319335194693e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.914408119228584439e+02 2.848297051648661544e-03 8.378646504721434796e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.915717114198305353e+02 2.794774454734436607e-03 3.213364938786103520e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.918335104258396200e+02 2.687984851482080623e-03 7.628086456954569217e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.919644099342455945e+02 2.634834816327355500e-03 9.618300851134406471e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.922262089627979833e+02 2.530034870003799920e-03 1.296845411284261174e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.923571084822210082e+02 2.478827443027519471e-03 1.429731384540520456e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.926189075321014741e+02 2.379711708037813775e-03 1.613831282468062012e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.927498070617531880e+02 2.332188978889057282e-03 1.664104865105917319e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.930116061311211979e+02 2.241682842841388312e-03 1.677339246099845416e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.931425056700269636e+02 2.198718474025071912e-03 1.641562236142308784e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.934043047569328451e+02 2.117312850928196495e-03 1.490268305335736287e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.935352043042122716e+02 2.078451233089475061e-03 1.377921947074350062e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.937970034071531984e+02 2.004042983398014212e-03 1.092511121687475412e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.939279029622384201e+02 1.967818586371039916e-03 9.239606489374957432e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.941897020804327951e+02 1.897005873637549024e-03 5.532231310256748719e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.943206016431001899e+02 1.861795345285202630e-03 3.561588783777591694e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.945824007763681038e+02 1.791779110403622947e-03 -4.087223665321909616e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.947133003465920922e+02 1.756664221798186383e-03 -2.359001599587716436e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.949750994949257006e+02 1.686640866623120155e-03 -5.992276689301567760e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.951059990726448348e+02 1.651798916104123011e-03 -7.634945669941214930e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.953677982357533836e+02 1.583112279220615180e-03 -1.041106108671022712e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.954986978206912909e+02 1.549561789493807216e-03 -1.151879506927666053e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.957604969977673761e+02 1.484652680078053701e-03 -1.307078064351570590e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.958913965893972886e+02 1.453560721152619833e-03 -1.350700166874813646e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.961531957792078060e+02 1.394418916982253067e-03 -1.366778462926617477e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.962840953768728411e+02 1.366397269223597940e-03 -1.340229126781159463e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.965458945780977444e+02 1.313419976507567213e-03 -1.221931258250316954e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.966767941811980336e+02 1.288199052073762474e-03 -1.132735363984008897e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.969385933927997883e+02 1.240044072434105197e-03 -9.044594657084531475e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.970694930009378822e+02 1.216667083798121489e-03 -7.690303394114890445e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.973312922223601049e+02 1.171084506316765828e-03 -4.701920835853293235e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.974621918353693388e+02 1.148464435266132247e-03 -3.109352399696038716e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.977239910664611671e+02 1.103552912965881762e-03 1.064607251572979862e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.978548906843134034e+02 1.081048473791234796e-03 1.689608487960669869e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.981166899250550557e+02 1.036197095627928088e-03 4.646011600970231803e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.982475895477077188e+02 1.013885289404348970e-03 5.986450803874612814e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.985093887979099634e+02 9.699075252917130092e-04 8.260550529354993010e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.986402884251828596e+02 9.484319771153341874e-04 9.173177086852760120e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.989020876843222823e+02 9.069005684514940815e-04 1.046545491446057852e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.990329873158731573e+02 8.870241528856834257e-04 1.083833762570785703e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.992947865831436616e+02 8.492595260046877179e-04 1.101051970714964356e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.994256862185419834e+02 8.313994437716886940e-04 1.081755806463609443e-01 0.000000000000000000e+00 1.963495408493620871e-03
1.996874854930711933e+02 7.977056388362140787e-04 9.904484967517671046e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.998183851319177506e+02 7.817086769066056281e-04 9.204696026628034211e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.000801844130112102e+02 7.512511988984022860e-04 7.399900023896516243e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.002110840550341209e+02 7.365078965451296545e-04 6.324093674737436832e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.004728833423058632e+02 7.078344125774555570e-04 3.942461766425767178e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.006037829873874045e+02 6.936344507208756002e-04 2.669921299132651388e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.008655822807198490e+02 6.654852755148926409e-04 9.452549579771207799e-04 0.000000000000000000e+00 1.963495408493620871e-03
2.009964819288343847e+02 6.513928427418498156e-04 -1.176136921399366375e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.012582812282070392e+02 6.233226494481921036e-04 -3.554625105295237952e-02 0.000000000000000000e+00 1.963495408493620871e-03
2.013891808793251244e+02 6.093616541340434768e-04 -4.636042932551993900e-02 0.000000000000000000e+00 1.963495408493620871e-03
