# q:1.000000e+00, m:1.836000e+03, N:480 - x,px,py,pz,w
1.884945864653038825e+02 -2.220212775239828851e+00 9.349431461392720532e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.886448908897724834e+02 -2.025576844703384616e+00 9.370915070135361121e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.889563782671403942e+02 -1.522454032324619622e+00 9.427984435596713144e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.891095371344473790e+02 -1.285288915379100505e+00 9.393728082805591871e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.894088871656760205e+02 -8.599922658341099257e-01 9.381998806057406919e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.895550298992463354e+02 -6.755406905224919933e-01 9.420897997729541472e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.898422276369555277e+02 -3.599158487562028053e-01 9.430747168221054882e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.899846922366699005e+02 -2.293019114538080161e-01 9.411698824384666460e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.902669959167763523e+02 -2.479103829180984847e-02 9.435086734625945225e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.904064151531307232e+02 4.898471105787079172e-02 9.459131128731468590e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.906811305586927574e+02 1.456579769915365974e-01 9.465662390507720465e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.908159602219015198e+02 1.712915386181005917e-01 9.462501075406574112e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.910806891913566403e+02 1.819298949710986268e-01 9.475888355047177875e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.912106484837403286e+02 1.696164948885499069e-01 9.486210554724031161e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.914676610669555146e+02 1.246835687351483257e-01 9.501778530750886170e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.915960057244075756e+02 1.026459035998465164e-01 9.506081093655666548e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.918530531058419797e+02 6.317228194465648872e-02 9.505337881880189087e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.919821170848790928e+02 4.772794834597014757e-02 9.507493795391337103e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.922408484556702604e+02 2.268322573020557786e-02 9.536183194621583765e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.923701366702339328e+02 1.068518993404204975e-02 9.550127616969319652e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.926288806757088707e+02 -9.192400968396959721e-03 9.540424924832583819e-04 0.000000000000000000e+00 1.963495408493620871e-03
